studyName,Sample Number,Sample Collection Date,Total Number,16-20,21-25,26-30,31-35,36-40,41-45,46-50,51-55,56-60,61-65
PAL2223,AD_D_TOR22001,2022-12-27,59,0,0,0,7,26,21,2,3,0,0
PAL2223,AD_D_TOR22002,2022-12-27,76,0,0,3,8,25,24,16,0,0,0
PAL2223,AD_D_TOR22003,2022-12-27,50,0,0,0,7,15,18,6,4,0,0
PAL2223,AD_D_TOR22004,2022-12-27,56,0,0,0,9,23,21,3,0,0,0
PAL2223,AD_D_TOR22005,2022-12-27,3,0,0,0,2,0,1,0,0,0,0
PAL2223,AD_D_TOR22006,2023-01-03,52,0,0,0,1,5,24,12,10,0,0
PAL2223,AD_D_TOR22007,2023-01-03,54,0,0,0,5,16,21,10,2,0,0
PAL2223,AD_D_TOR22008,2023-01-03,62,0,0,0,5,25,26,5,1,0,0
PAL2223,AD_D_TOR22009,2023-01-03,55,0,0,0,1,16,28,10,0,0,0
PAL2223,AD_D_TOR22010,2023-01-03,50,0,0,0,4,13,25,6,1,1,0
PAL2223,AD_D_TOR22011,2023-01-11,50,0,0,0,0,20,27,3,0,0,0
PAL2223,AD_D_TOR22012,2023-01-11,35,0,0,0,3,13,11,6,2,0,0
PAL2223,AD_D_TOR22013,2023-01-11,55,0,0,1,5,29,18,2,0,0,0
PAL2223,AD_D_TOR22014,2023-01-11,12,0,0,0,0,7,4,0,1,0,0
PAL2223,AD_D_TOR22015,2023-01-11,52,0,0,0,3,21,25,3,0,0,0
PAL2223,AD_D_TOR22016,2023-01-11,36,0,0,0,3,7,18,7,1,0,0
PAL2223,AD_D_HUM22001,2023-01-17,53,0,0,0,3,15,24,10,1,0,0
PAL2223,AD_D_HUM22002,2023-01-17,50,0,0,0,0,9,21,14,5,1,0
PAL2223,AD_D_HUM22003,2023-01-17,25,0,0,0,2,5,16,1,1,0,0
PAL2223,AD_D_HUM22004,2023-01-17,52,0,0,0,2,8,26,16,0,0,0
PAL2223,AD_D_HUM22005,2023-01-17,3,0,0,0,0,0,1,2,0,0,0
PAL2223,AD_D_HUM22006,2023-01-17,50,0,0,0,1,15,26,7,1,0,0
PAL2223,AD_D_TOR22017,2023-01-25,55,0,2,0,2,9,32,7,3,0,0
PAL2223,AD_D_TOR22018,2023-01-25,52,0,0,0,0,6,21,17,7,1,0
PAL2223,AD_D_TOR22020,2023-01-25,53,0,0,2,1,7,29,12,2,0,0
PAL2223,AD_D_TOR22021,2023-01-25,33,0,0,0,1,6,15,6,5,0,0
PAL2223,AD_D_TOR22022,2023-01-25,58,0,0,0,0,11,29,18,0,0,0
PAL2223,AD_D_TOR22023,2023-02-07,2,0,0,0,0,0,1,1,0,0,0
PAL2223,AD_D_TOR22024,2023-02-07,55,0,0,0,0,1,20,24,8,2,0
PAL2223,AD_D_TOR22025,2023-02-07,50,0,0,0,0,1,13,30,6,0,0
PAL2223,AD_D_TOR22026,2023-02-07,15,0,0,0,0,1,7,4,2,1,0
