studyName,Island,Sample Number,Date,Sample Weight,E. superba Weight,Number of E. superba,T. macrura Weight,Number of T. macrura,Fish Weight,Number of Fish,Number of Otoliths
PAL2223,TOR,AD_D_TOR22001,2022-12-27,120.8,120.8,302,0.0,0,0.0,0,0
PAL2223,TOR,AD_D_TOR22002,2022-12-27,108.3,108.3,275,0.0,0,0.0,0,0
PAL2223,TOR,AD_D_TOR22003,2022-12-27,81.98,81.98,217,0.0,0,0.0,0,0
PAL2223,TOR,AD_D_TOR22004,2022-12-27,55.64,55.64,130,0.0,0,0.0,0,0
PAL2223,TOR,AD_D_TOR22005,2022-12-27,20.71,20.71,100,0.0,0,0.0,0,0
PAL2223,TOR,AD_D_TOR22006,2023-01-03,212.16,211.16,417,0.0,0,1.0,1,2
PAL2223,TOR,AD_D_TOR22007,2023-01-03,120.5,120.5,290,0.0,0,0.0,0,0
PAL2223,TOR,AD_D_TOR22008,2023-01-03,149.5,149.5,347,0.0,0,0.0,0,0
PAL2223,TOR,AD_D_TOR22009,2023-01-03,89.8,89.8,189,0.0,0,0.0,0,0
PAL2223,TOR,AD_D_TOR22010,2023-01-03,58.46,58.46,134,0.0,0,0.0,0,0
PAL2223,TOR,AD_D_TOR22011,2023-01-11,151.16,151.16,393,0.0,0,0.0,0,0
PAL2223,TOR,AD_D_TOR22012,2023-01-11,66.9,66.9,123,0.0,0,0.0,0,0
PAL2223,TOR,AD_D_TOR22013,2023-01-11,108.5,82.0,242,0.0,0,0.0,0,0
PAL2223,TOR,AD_D_TOR22014,2023-01-11,55.3,55.3,101,0.0,0,0.0,0,0
PAL2223,TOR,AD_D_TOR22015,2023-01-11,43.56,43.56,82,0.0,0,0.0,0,0
PAL2223,TOR,AD_D_TOR22016,2023-01-11,91.03,91.03,223,0.0,0,0.0,0,0
PAL2223,HUM,AD_D_HUM22001,2023-01-17,108.0,108.0,232,0.0,0,0.0,0,0
PAL2223,HUM,AD_D_HUM22002,2023-01-17,61.04,61.04,131,0.0,0,0.0,0,0
PAL2223,HUM,AD_D_HUM22003,2023-01-17,23.7,23.7,50,0.0,0,0.0,0,0
PAL2223,HUM,AD_D_HUM22004,2023-01-17,107.9,107.9,195,0.0,0,0.0,0,0
PAL2223,HUM,AD_D_HUM22005,2023-01-17,4.38,4.38,8,0.0,0,0.0,0,0
PAL2223,HUM,AD_D_HUM22006,2023-01-17,135.8,135.8,320,0.0,0,0.0,0,0
PAL2223,TOR,AD_D_TOR22017,2023-01-25,148.2,147.2,306,0.0,0,1.0,0,2
PAL2223,TOR,AD_D_TOR22018,2023-01-25,112.4,112.4,194,0.0,0,0.0,0,0
PAL2223,TOR,AD_D_TOR22020,2023-01-25,97.98,96.98,222,0.0,0,1.0,0,1
PAL2223,TOR,AD_D_TOR22021,2023-01-25,79.83,79.83,157,0.0,0,0.0,0,0
PAL2223,TOR,AD_D_TOR22022,2023-01-25,166.4,166.4,334,0.0,0,0.0,0,0
PAL2223,TOR,AD_D_TOR22023,2023-02-07,85.3,85.3,114,0.0,0,0.0,0,0
PAL2223,TOR,AD_D_TOR22024,2023-02-07,150.35,149.35,219,0.0,0,1.0,0,0
PAL2223,TOR,AD_D_TOR22025,2023-02-07,138.8,171.77,242,0.0,0,2.53,1,0
PAL2223,TOR,AD_D_TOR22026,2023-02-07,74.84,74.84,111,0.0,0,0.0,0,0
